datetime,logged_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2019-12-30 16:30:00,4.23 fluid ounce Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2019-12-30 18:57:00,"335.0 gram Lasagna (mostly vegetables), 0.25 cup Red Wine",574.0,31.5,3.4,10.200000000000001,38.0,28.0
2019-12-30 19:02:00,6.0 Cashew Nut,54.0,3.1,0.3,0.5,1.4,4.4
2019-12-30 19:27:00,10.0 gram Chocolate,54.0,5.9,0.3,5.2,0.8,3.0
2019-12-30 20:49:00,"Herbal Tea, 1.0 teaspoon Honey",23.4,6.3,0.0,5.8,0.0,0.0
2019-12-31 00:19:00,3.0 Pretzel Rod,115.0,24.0,1.0,0.7,3.0,0.9
2019-12-31 13:51:00,10.0 gram Potato Chip,53.0,5.4,0.3,0.0,0.6,3.4
2019-12-31 14:00:00,1.5 cup Chicken Noodle Soup,93.0,11.0,0.7,1.0,4.7,3.5
2019-12-31 14:55:00,(CaraCara) fresh orange juice,140.0,42.0,14.0,28.0,2.0,0.0
2019-12-31 17:20:00,"75.0 gram Small Sweet Potato, 175.0 gram Turkey Leg, 90.0 gram Stuffing, 100.0 gram English Peas",659.0,45.0,8.2,11.600000000000001,58.1,27.3
2019-12-31 19:03:00,4.23 fluid ounce Ice Cream Sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2019-12-31 20:38:00,"60.0 gram Pound Cake, Strawberry, Blueberry, 2.0 scoop Ice Cream",572.9,84.7,5.1000000000000005,63.4,8.8,23.9
2019-12-31 21:23:00,Frosted Flake,280.0,56.5,1.0,24.0,8.0,2.5
2019-12-31 21:38:00,"Decaf Latte, 7.0 ounce Lactose Free Milk",598.0,30.0,0.0,19.0,19.4,11.5
2020-01-01 09:58:00,"4.0 Small Blueberry Pancake, syrup",556.0,102.0,0.0,35.0,9.2,14.1
2020-01-01 12:15:00,"Decaf Latte, 7.0 ounce Lactose Free Milk",598.0,30.0,0.0,19.0,19.4,11.5
2020-01-01 15:30:00,"170.0 gram turkey leg, potato chip",388.0,5.4,0.3,0.0,48.6,19.4
2020-01-01 15:35:00,cashew nut,54.0,3.1,0.3,0.5,1.4,4.4
2020-01-01 15:40:00,come pear,101.0,27.0,5.5,17.0,0.6,0.3
2020-01-01 15:53:00,"Decaf Latte, 7.0 ounce Lactose Free Milk",598.0,30.0,0.0,19.0,19.4,11.5
2020-01-01 17:47:00,2.0 toffee,134.0,16.0,0.0,15.0,0.3,7.9
2020-01-01 19:40:00,"340.0 gram vegetable lasagna, 0.25 cup green beans",403.0,26.5,4.2,6.199999999999999,24.6,22.1
2020-01-01 20:08:00,1.0 cup ice cream,273.0,31.0,0.9,28.0,4.6,15.0
2020-01-02 10:19:00,Frosted Flake,280.0,56.5,1.0,24.0,8.0,2.5
2020-01-02 10:30:00,"Decaf Latte, 7.0 ounce Lactose Free Milk",598.0,30.0,0.0,19.0,19.4,11.5
2020-01-02 13:26:00,"0.5 cup low fat cottage cheese, banana",186.0,30.1,3.1,17.1,15.3,1.6
2020-01-02 16:16:00,0.25 cup low fat cottage cheese,40.5,1.6,0.0,1.6,7.0,0.6
2020-01-02 16:21:00,5.3 ounce greek yogurt,532.0,32.0,0.0,29.0,92.0,3.5
2020-01-02 17:28:00,ice cream sandwich,284.0,45.0,0.0,22.0,5.1,10.0
2020-01-02 17:32:00,"rice, bean, duck burrito, salsa, corn chips",1025.0,159.4,22.3,7.3,38.6,26.700000000000003
2020-01-03 11:00:00,"low fat cottage cheese, banana",145.5,28.6,3.1,15.6,8.3,1.0
2020-01-03 11:30:00,skim decaf latte,189.0,19.0,0.0,19.0,12.0,7.4
2020-01-03 13:19:00,turkey leg,335.0,0.0,0.0,0.0,48.0,16.0
