datetime,logged_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-03-14 14:15:00,"4.0 gram Golden Crust Chicken Patil, 8.0 ounce Pineapple and Ginger Juice, 1.0 Banana",643.0,100.0,6.0,41.8,32.2,12.7
2020-03-14 17:55:00,"24.0 gram Steamed Shrimp, 0.5 Potato, 2.0 tablespoon Mixed Vegetable, 8.0 fluid ounce Moscato",311.7,32.599999999999994,2.4,1.5,8.2,0.6000000000000001
2020-03-15 09:00:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-15 12:40:00,"2.0 Eggs, 2.0 Mini Croissants, 0.5 cup Coffee, 2.0 piece Turkey Bacon",431.2,27.4,1.5,7.4,22.5,25.7
2020-03-15 16:50:00,"0.5 Baked Potato, 12.0 ounce Salad - Tomato, Cheese, Lettuce, Tortilla Strips, Air Fried Chicken Wings",484.0,46.0,8.8,8.3,27.1,22.9
2020-03-16 08:56:00,"2.0 Eggs, 2.0 Mini Croissants, 1.0 cup Coffee, 2.0 piece Turkey Bacon, 0.5 Avocado",592.2,36.0,8.2,8.1,24.5,40.7
2020-03-16 14:30:00,"1.0 Medium Banana, 4.0 ounce Granola Oats and Honey",660.0,88.0,13.1,36.0,17.3,28.4
2020-03-16 19:00:00,"4.0 Pizza Triangles, 1.0 ounce Brownie, 1.0 Lemon, 3.0 Tomato and Mozzarella Toothpick, 12.0 ounce Corona, 0.5 ounce Blackberries",1668.1,184.9,14.100000000000001,20.6,64.9,66.6
2020-03-17 09:03:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-17 12:41:00,"Avocado Sandwich - White bread, with mayo",378.0,35.0,1.7,1.6,13.0,21.0
2020-03-17 14:30:00,"1.0 Medium Banana, 2.0 ounce Granola Oats and Honey",382.0,58.0,8.1,25.0,9.1,14.4
2020-03-17 20:15:00,"6.0 ounce Steak, 1.0 Large Baked Potato, 12.0 ounce Mojito, 3.0 ounce Steamed Broccoli",1124.0,117.1,11.299999999999999,47.7,54.1,31.8
2020-03-18 09:55:00,"7.0 ounce Oatmeal Margarine, Splenda/Sugar Blend, 10.0 fluid ounce Coffee, Creamer, 2.0 piece Turkey Bacon",227.4,27.3,3.4,2.0,10.3,8.8
2020-03-18 14:55:00,"Salad - Shrimp, Lettuce, Tomato, Cheese, Avocado, 8.0 ounce Low Sugar Apple Juice",609.0,44.0,8.0,29.7,42.3,30.3
2020-03-18 15:55:00,"2.0 ounce Grapes, Handfull of Oats and Honey Granola",594.0,71.0,10.5,30.8,16.4,28.1
2020-03-18 19:18:00,"5.0 ounce Air Fried French Fries, 8.0 ounce Moscato",639.0,72.0,5.4,0.4,5.1000000000000005,21.0
2020-03-19 09:45:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-19 10:35:00,Banana,105.0,27.0,3.1,14.0,1.3,0.4
2020-03-19 13:28:00,25.0 (Wheat Thins) Ranch Crackers,233.3,35.0,3.3,8.3,3.3,8.3
2020-03-19 18:25:00,"Air Fried Chicken Loingettes, Salad - Tomato, Cheese, Lettuce, Tortilla Strips",457.0,21.4,6.699999999999999,7.3,44.9,21.8
2020-03-20 06:35:00,"2.0 Eggs, 2.0 piece Turkey Bacon, 2.0 Mini Croissants",430.0,27.4,1.5,7.4,22.4,25.7
2020-03-20 11:58:00,"Sandwich - White Bread, Lettuce, Chicken, Cheese, 6.0 Vanilla Cookies, 4.0 ounce Grapes, 10.0 fluid ounce Low Sugar Apple Juice",793.0,111.0,4.5,61.9,32.0,25.5
2020-03-20 17:32:00,"8.0 ounce Burger Salad - Lettuce, Tomato, Cheese, Tortilla Strips, Burger, Thousand Island Dressing",471.0,13.0,1.5,8.7,28.0,34.0
2020-03-21 09:00:00,"4.0 fluid ounce Milk, 1.5 cup Frosted Flakes",280.0,56.5,1.0,24.0,8.0,2.5
2020-03-21 13:25:00,"Chicken and Cheese Sandwich - White Bread, Mayo, Banana, 3.0 Lemon Cookies, 8.0 fluid ounce Low Sugar Apple Juice",1100.0,161.0,7.1000000000000005,82.8,36.1,35.7
2020-03-21 17:00:00,"1.0 Baked Sweet Potato, 4.0 Lemon Cookies, 8.0 ounce Moscato",850.7,126.3,5.0,58.1,8.5,18.9
2020-03-22 08:50:00,"2.0 Mini Croissants, 2.0 Boiled Eggs, 2.0 piece Turkey Bacon, 0.5 Avocado, 8.0 fluid ounce Coffee",592.2,36.0,8.2,8.1,24.5,40.7
2020-03-22 14:10:00,6.0 Lemon Cookies,826.0,134.0,1.8,76.0,9.0,28.0
2020-03-22 19:00:00,"6.0 Chicken Wingettes, 0.5 Medium Baked Potato, 4.0 ounce Mixed Vegetable, Green Beans, Peas, Corn, Carrots",643.0,41.9,6.0,4.4,38.2,39.5
2020-03-23 09:00:00,Boost,654.0,82.0,5.6,40.0,26.0,26.0
