datetime,logged_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
2020-06-05 16:00:00,"7.5 ounce Pepsi (Real Sugar), 1.0 ounce Simply Naked Pita Chips, 2.25 tbsp Roasted Red Pepper Hummus, 3.5 biscuits Milk Chocolate Petit Beurre Biscuits",517,91.2,4.0,48.8,9.3,15.5
2020-06-05 19:30:00,"1.0 scoop On Gold Standard 100% Whey Protein, 1.0 cup 2% Milk, 0.25 cup Frozen Strawberries, 2.0 ounce Pork Loin Tenderloin (Hornet)",338,19.0,2.0,14.5,47.9,7.699999999999999
2020-06-06 06:10:00,Standard Breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-06-06 09:49:00,30.0 g Quest Protein Bar Double Chocolate Chunk,160,25.0,16.0,1.0,20.0,6.0
2020-06-06 11:50:00,"2.0 ounce Chicken Parmesan with Tomato Sauce, 1.0 scoop Mashed Potatoes with Brown Gravy, 0.25 cup Mixed Vegetables (corn, peas, carrots)",601,58.4,5.6,8.5,31.1,27.1
2020-06-06 13:55:00,2.0 mints Lifesavers Breath Mints,30,7.5,0.0,7.0,0.0,0.0
2020-06-06 18:50:00,"2.0 muffin Thomas Blueberry English Muffins, 4.0 ounce Jimmy Dean Hot Premium Pork Sausage, 1.0 Large Egg, 1.0 tbsp Kerry Gold Butter, 0.5 tbsp Lanad o Lakes Cinnamon Sugar",680,74.1,4.0,17.7,24.8,30.8
2020-06-06 19:32:00,3.0 mints Asndes Cremede Menth Thin Mints,75,8.4,0.5,7.2,1.1,4.2
2020-06-07 09:20:00,0.5 bar Quest Protein Bar White Chocolate Raspberry Bar,100,10.5,7.0,1.0,10.0,4.5
2020-06-07 10:19:00,5.5 ounce V8 Low Sodium,40,7.5,1.4,6.0,1.5,0.0
2020-06-07 12:20:00,"1.0 Club Sandwich with turkey, bacon, and cheddar cheese",817,42.0,3.2,7.0,56.0,46.0
2020-06-07 13:25:00,1.0 mints Lifesaver Peppermint Breath Mint,15,4.0,0.0,4.0,0.0,0.0
2020-06-07 17:30:00,2.0 biscuits Lu Petit Ecolier Milk Chocolate Biscuit Cookie,123,18.2,0.2,5.3,1.6,4.9
2020-06-07 19:21:00,"8.0 ounce Chicken Breast Air Fried, 18.0 ounce Green Smoothie (with avocado, cotton candy green grapes, pear, broccoli, kale, spinach, banana), 3.0 biscuits Lu Petit Ecolier Milk Chocolate Biscuit Cookie",444,46.2,5.2,20.3,41.6,11.2
2020-06-08 06:10:00,Standard Breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-06-08 09:10:00,"8.0 ounce Pepsi, 5.0 gummy Lifesaver Gummies (wild berries), 5.0 cookie Uncle Al's Strawberry Cremes Cookies",335,75.5,0.0,63.0,1.5,4.5
2020-06-08 11:25:00,"Taco Bell Chicken Quesadilla, Soft Taco",658,52.0,6.7,2.6,33.0,36.0
2020-06-08 15:05:00,4.0 gummy Lifesaver Gummies (wild berries),65,15.5,0.0,13.0,0.5,0.0
2020-06-08 17:30:00,2.0 piece Sathers Caramel Creams,94,17.0,0.0,9.0,0.7,2.3
2020-06-08 19:40:00,"2.0 egg Large Eggs Scrambled (nothing added), 1.0 muffin Thomas English Muffin Blueberry, 1.0 muffin Thomas English Muffin Cinnamon, 1.0 cup 2% Milk, 1.0 scoop On Gold Standard 100% Whey Protein, 1.0 tbsp Kerry Gold Butter",817,72.0,3.0,16.0,55.0,31.3
2020-06-09 07:50:00,"2.0 cup Special K with strawberries, 1.25 cup 2% Milk",342,66.0,6.0,30.0,12.0,4.8
2020-06-09 10:20:00,"4.0 cookie Uncle Al's Strawberry Cremes Cookies, 8.0 ounce Pepsi",270,60.0,0.0,50.0,1.0,4.5
2020-06-09 14:45:00,2.0 Goetzes Caramel Cremes,94,17.0,0.0,9.0,0.7,2.3
2020-06-09 15:58:00,0.5 bar Quest Protein Bar Caramel Chocolate Chunk,160,25.0,16.0,1.0,20.0,6.0
2020-06-09 18:30:00,"2.0 slice Pizza Slice of NY Pepperoni, 2.5 stick Mozarrella Sticks, 7.5 ounce Coca Cola",1079,135.0,7.0,50.0,40.0,43.0
2020-06-10 06:15:00,Standard Breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-06-10 09:28:00,5.0 ounce Oreo's Peppermint Bark,288,36.0,1.4,32.0,2.8,17.0
2020-06-10 11:50:00,"2.0 slice Pizza Slice of NY Pepperoni, 0.5 scone Strawberry Scone, 7.5 ounce Coca Cola",1200,143.0,6.2,49.2,33.3,56.0
2020-06-10 15:27:00,0.5 bar Quest Protein Bar Caramel Chocolate Chunk,160,25.0,16.0,1.0,20.0,6.0
2020-06-10 19:30:00,"3.8 ounce Kraft Mac and Cheese, 1.0 scoop On Gold Standard 100% Whey Protein, 6.0 ounce 2% Milk, 0.5 cup Frozen Strawberries",651,71.0,5.4,25.5,43.1,21.5
2020-06-11 06:00:00,1.0 bar Quest Protein Bar Birthday Cake,160,25.0,16.0,1.0,20.0,6.0
2020-06-11 09:18:00,1.5 ounce Sun Chips Garden Salsa,140,19.0,2.0,2.0,2.0,6.0
2020-06-11 11:45:00,"2.0 Hard Boiled Eggs, 0.5 cup Cottage Cheese, 8.0 ounce Apple Pie",585,49.0,2.0,25.0,26.4,31.7
2020-06-11 12:50:00,1.0 Lifesavers Breath Mints,15,4.0,0.0,4.0,0.0,0.0
2020-06-11 17:50:00,1.0 Ghiradelli Peppermint Bark Square,144,18.0,0.7,16.0,1.4,8.4
2020-06-11 18:15:00,"4.5 ounce Jimmy Dean Hot Premium Pork Sausage, 2.0 muffin Thomas English Muffin Cinnamon, 1.0 tbsp Kerry Gold Butter, 1.0 tbsp Land o Lakes Cinnamon Butter, 1.3333 cup 2% Milk",732,85.7,4.0,29.5,26.5,30.8
2020-06-12 06:05:00,Standard Breakfast,280,56.5,1.0,24.0,8.0,2.5
2020-06-12 09:10:00,"10.0 ounce Pepsi, 2.0 cookie Oreo's Peppermint Bark, 4.0 cookie Uncle Al's Strawberry Cremes Cookies, 12.0 piece M&M's, 3.0 piece Sathers Caramel Creams",888,147.0,2.7,122.0,6.5,33.8
2020-06-12 12:45:00,"6.0 ounce Pepsi, 12.0 piece M&M's, 1.0 piece Milkyway ""Fun Size"" Candy Bar, 10.0 piece Whoopers Malted Milk Balls, 6.0 cookie Uncle Al's Strawberry Cremes Cookies",824,148.0,1.3,123.0,5.8,26.8
2020-06-12 17:15:00,"1.0 sandwich Sloppy Joe with 1 Bun, 1.25 Lay's Wavy Potato Chips, 2.0 biscuits Lut Petit Ecolier Milk Chocolate Biscuit Cookie",820,85.2,4.4,18.5,32.2,38.9
2020-06-13 09:30:00,Boost,654,82.0,5.6,40.0,26.0,26.0
